impl,procs,size,time
MPI,1,100,0.00908564
MPI,1,200,0.07353981
MPI,1,300,0.24961924
MPI,1,400,0.66024696
MPI,1,500,1.18613270
MPI,1,600,2.00354979
MPI,1,700,3.19602692
MPI,1,800,4.85628294
MPI,1,900,6.91277944
MPI,1,1000,9.43683341
MPI,1,2000,77.10888387
MPI,1,3000,255.88851223
MPI,1,5000,1173.67085659
MPI,2,100,0.02205952
MPI,2,200,0.06171250
MPI,2,300,0.16380531
MPI,2,400,0.34856310
MPI,2,500,0.64051847
MPI,2,600,1.08181064
MPI,2,700,1.66471556
MPI,2,800,2.51456428
MPI,2,900,3.57600180
MPI,2,1000,4.83138665
MPI,2,2000,38.81167763
MPI,2,3000,129.53002658
MPI,2,5000,591.56089620
MPI,3,100,0.03118718
MPI,3,200,0.04611840
MPI,3,300,0.11851975
MPI,3,400,0.24768395
MPI,3,500,0.45580380
MPI,3,600,0.74527847
MPI,3,700,1.18263840
MPI,3,800,1.79303731
MPI,3,900,2.53717461
MPI,3,1000,3.48014793
MPI,3,2000,26.77320505
MPI,3,3000,87.85735376
MPI,3,5000,403.79448763
MPI,4,100,0.12993493
MPI,4,200,0.06880613
MPI,4,300,0.12368147
MPI,4,400,0.23704260
MPI,4,500,0.36622285
MPI,4,600,0.60021583
MPI,4,700,0.96537864
MPI,4,800,1.42164893
MPI,4,900,1.95805935
MPI,4,1000,2.67412517
MPI,4,2000,19.94918044
MPI,4,3000,67.07205518
MPI,4,5000,303.55958006
MPI,5,100,0.05601527
MPI,5,200,0.03898778
MPI,5,300,0.09410998
MPI,5,400,0.17610466
MPI,5,500,0.31579155
MPI,5,600,0.50005371
MPI,5,700,0.78074638
MPI,5,800,1.21530299
MPI,5,900,1.66472631
MPI,5,1000,2.23086949
MPI,5,2000,16.26874601
MPI,5,3000,53.52606135
MPI,5,5000,244.54147496
MPI,6,100,0.24635791
MPI,6,200,0.12780470
MPI,6,300,0.18191089
MPI,6,400,0.16644133
MPI,6,500,0.28227788
MPI,6,600,0.45583945
MPI,6,700,0.66995921
MPI,6,800,1.35351141
MPI,6,900,1.45097855
MPI,6,1000,1.92145345
MPI,6,2000,13.95512133
MPI,6,3000,46.47380655
MPI,6,5000,210.24390639
MPI,7,100,0.08581087
MPI,7,200,0.03907164
MPI,7,300,0.08121622
MPI,7,400,0.15089579
MPI,7,500,0.26225817
MPI,7,600,0.41477306
MPI,7,700,0.61391904
MPI,7,800,1.30471702
MPI,7,900,1.31498608
MPI,7,1000,1.71629247
MPI,7,2000,12.40041307
MPI,7,3000,39.06154572
MPI,7,5000,175.00554852
MPI,8,100,0.13055408
MPI,8,200,0.04029678
MPI,8,300,0.10942983
MPI,8,400,0.17306469
MPI,8,500,0.23912815
MPI,8,600,0.37666515
MPI,8,700,0.55937855
MPI,8,800,1.06402713
MPI,8,900,1.17812526
MPI,8,1000,1.63154038
MPI,8,2000,10.99877503
MPI,8,3000,35.15995838
MPI,8,5000,158.84056340
MPI,9,100,0.10511465
MPI,9,200,0.03632440
MPI,9,300,0.08120992
MPI,9,400,0.14004154
MPI,9,500,0.21942880
MPI,9,600,0.34064467
MPI,9,700,0.51694206
MPI,9,800,1.06167621
MPI,9,900,1.07519294
MPI,9,1000,1.42452998
MPI,9,2000,9.49527150
MPI,9,3000,31.37984204
MPI,9,5000,141.44339369
MPI,10,100,0.11748895
MPI,10,200,0.03751757
MPI,10,300,0.08579837
MPI,10,400,0.12960945
MPI,10,500,0.22107418
MPI,10,600,0.31815908
MPI,10,700,0.50316731
MPI,10,800,1.03135526
MPI,10,900,1.05252973
MPI,10,1000,1.31518245
MPI,10,2000,9.25758256
MPI,10,3000,30.40527625
MPI,10,5000,126.93423693
