impl,procs,size,time,threads
OMP,1,100,0.00934480,1
OMP,1,200,0.07241315,1
OMP,1,300,0.24912067,1
OMP,1,400,0.59038216,1
OMP,1,500,1.12869252,1
OMP,1,600,1.92140391,1
OMP,1,700,3.06106031,1
OMP,1,800,4.73388275,1
OMP,1,900,6.64511551,1
OMP,1,1000,9.01306879,1
OMP,1,2000,75.35686433,1
OMP,1,3000,243.62656494,1
OMP,1,100,0.00825901,2
OMP,1,200,0.05033560,2
OMP,1,300,0.14103474,2
OMP,1,400,0.31848701,2
OMP,1,500,0.60880141,2
OMP,1,600,1.04061118,2
OMP,1,700,1.63164947,2
OMP,1,800,2.42314153,2
OMP,1,900,3.40466509,2
OMP,1,1000,4.59912737,2
OMP,1,2000,36.51125623,2
OMP,1,3000,124.09630867,2
OMP,1,100,0.00694386,3
OMP,1,200,0.04078206,3
OMP,1,300,0.10841152,3
OMP,1,400,0.22504457,3
OMP,1,500,0.41787573,3
OMP,1,600,0.72949476,3
OMP,1,700,1.13908296,3
OMP,1,800,1.66137279,3
OMP,1,900,2.35768118,3
OMP,1,1000,3.20285031,3
OMP,1,2000,24.68302254,3
OMP,1,3000,83.57267752,3
OMP,1,100,0.00567151,4
OMP,1,200,0.03052732,4
OMP,1,300,0.07959344,4
OMP,1,400,0.17137779,4
OMP,1,500,0.32334482,4
OMP,1,600,0.54518355,4
OMP,1,700,0.87151185,4
OMP,1,800,1.26850234,4
OMP,1,900,1.79711528,4
OMP,1,1000,2.42501432,4
OMP,1,2000,19.04924629,4
OMP,1,3000,63.84325801,4
OMP,2,100,0.02189721,1
OMP,2,200,0.05713424,1
OMP,2,300,0.15539128,1
OMP,2,400,0.33724521,1
OMP,2,500,0.62597257,1
OMP,2,600,1.04606133,1
OMP,2,700,1.62732544,1
OMP,2,800,2.46963023,1
OMP,2,900,3.45646073,1
OMP,2,1000,4.74895231,1
OMP,2,2000,37.63343008,1
OMP,2,3000,124.83613374,1
OMP,2,100,0.01175893,2
OMP,2,200,0.04423605,2
OMP,2,300,0.10083416,2
OMP,2,400,0.20738040,2
OMP,2,500,0.57193000,2
OMP,2,600,0.74912156,2
OMP,2,700,0.90919428,2
OMP,2,800,1.34838644,2
OMP,2,900,1.92808752,2
OMP,2,1000,2.50966220,2
OMP,2,2000,19.00104468,2
OMP,2,3000,64.06537649,2
OMP,2,100,0.00984353,3
OMP,2,200,0.03704415,3
OMP,2,300,0.08292506,3
OMP,2,400,0.16024485,3
OMP,2,500,0.40839685,3
OMP,2,600,0.97970012,3
OMP,2,700,0.64530470,3
OMP,2,800,0.97827012,3
OMP,2,900,1.35550873,3
OMP,2,1000,1.79634407,3
OMP,2,2000,13.25807419,3
OMP,2,3000,43.49918075,3
OMP,2,100,0.19355847,4
OMP,2,200,0.05903951,4
OMP,2,300,0.11654400,4
OMP,2,400,0.14331007,4
OMP,2,500,0.24099194,4
OMP,2,600,0.38642601,4
OMP,2,700,0.53824610,4
OMP,2,800,0.80541290,4
OMP,2,900,1.09645447,4
OMP,2,1000,1.43087713,4
OMP,2,2000,10.07525917,4
OMP,2,3000,33.28326031,4
OMP,3,100,0.15222057,1
OMP,3,200,0.07216522,1
OMP,3,300,0.18403012,1
OMP,3,400,0.30603950,1
OMP,3,500,0.42043163,1
OMP,3,600,0.72831122,1
OMP,3,700,1.08944300,1
OMP,3,800,1.69102557,1
OMP,3,900,2.37452594,1
OMP,3,1000,3.26319762,1
OMP,3,2000,25.10557803,1
OMP,3,3000,83.35490839,1
OMP,3,100,0.01042074,2
OMP,3,200,0.03763340,2
OMP,3,300,0.07884786,2
OMP,3,400,0.14862057,2
OMP,3,500,0.34617442,2
OMP,3,600,0.86423422,2
OMP,3,700,0.62977517,2
OMP,3,800,0.99846203,2
OMP,3,900,1.31929070,2
OMP,3,1000,1.77327045,2
OMP,3,2000,12.91698709,2
OMP,3,3000,42.24929916,2
OMP,3,100,0.00867373,3
OMP,3,200,0.03103415,3
OMP,3,300,0.06916717,3
OMP,3,400,0.11760082,3
OMP,3,500,0.20085760,3
OMP,3,600,0.42607848,3
OMP,3,700,0.57284533,3
OMP,3,800,0.83982286,3
OMP,3,900,1.15146247,3
OMP,3,1000,1.33392147,3
OMP,3,2000,8.90252061,3
OMP,3,3000,28.88723024,3
OMP,3,100,0.00884918,4
OMP,3,200,0.02937125,4
OMP,3,300,0.05411638,4
OMP,3,400,0.09536535,4
OMP,3,500,0.16172796,4
OMP,3,600,0.24768960,4
OMP,3,700,0.91513838,4
OMP,3,800,0.63793849,4
OMP,3,900,1.10168225,4
OMP,3,1000,1.05055385,4
OMP,3,2000,6.84583342,4
OMP,3,3000,22.82617166,4
OMP,4,100,0.12708284,1
OMP,4,200,0.04289173,1
OMP,4,300,0.10609842,1
OMP,4,400,0.19831238,1
OMP,4,500,0.36325513,1
OMP,4,600,0.59215615,1
OMP,4,700,0.97226707,1
OMP,4,800,1.40456184,1
OMP,4,900,1.96902875,1
OMP,4,1000,2.59400513,1
OMP,4,2000,19.20591408,1
OMP,4,3000,63.87601084,1
OMP,4,100,0.19750840,2
OMP,4,200,0.21805173,2
OMP,4,300,0.33091770,2
OMP,4,400,0.20854803,2
OMP,4,500,0.22774795,2
OMP,4,600,0.35209120,2
OMP,4,700,0.53298082,2
OMP,4,800,1.57845553,2
OMP,4,900,1.16011358,2
OMP,4,1000,1.68935720,2
OMP,4,2000,10.12763317,2
OMP,4,3000,32.78089230,2
OMP,4,100,0.19203239,3
OMP,4,200,0.20358707,3
OMP,4,300,0.29517948,3
OMP,4,400,0.32943577,3
OMP,4,500,0.17262803,3
OMP,4,600,0.26614746,3
OMP,4,700,0.40237939,3
OMP,4,800,1.15824333,3
OMP,4,900,0.81842501,3
OMP,4,1000,2.02746105,3
OMP,4,2000,7.32000148,3
OMP,4,3000,23.38623080,3
OMP,4,100,0.19021171,4
OMP,4,200,0.03716091,4
OMP,4,300,0.07298639,4
OMP,4,400,0.11444067,4
OMP,4,500,0.18760629,4
OMP,4,600,0.29596140,4
OMP,4,700,0.37883678,4
OMP,4,800,1.49422170,4
OMP,4,900,0.71268591,4
OMP,4,1000,1.43357971,4
OMP,4,2000,5.56756690,4
OMP,4,3000,19.59671575,4
OMP,5,100,0.19717680,1
OMP,5,200,0.03651198,1
OMP,5,300,0.10082357,1
OMP,5,400,0.19255129,1
OMP,5,500,0.30985774,1
OMP,5,600,0.50939887,1
OMP,5,700,0.73474190,1
OMP,5,800,1.20657360,1
OMP,5,900,1.60592008,1
OMP,5,1000,2.17309442,1
OMP,5,2000,15.73955564,1
OMP,5,3000,51.80208518,1
OMP,5,100,0.07386345,2
OMP,5,200,0.15317838,2
OMP,5,300,0.25269302,2
OMP,5,400,0.32992293,2
OMP,5,500,0.21155334,2
OMP,5,600,0.29589773,2
OMP,5,700,0.43953915,2
OMP,5,800,0.96748688,2
OMP,5,900,1.05835171,2
OMP,5,1000,1.39001118,2
OMP,5,2000,8.59346062,2
OMP,5,3000,27.08750893,2
OMP,5,100,0.01376211,3
OMP,5,200,0.02909526,3
OMP,5,300,0.05742364,3
OMP,5,400,0.09939491,3
OMP,5,500,0.15543293,3
OMP,5,600,0.51870079,3
OMP,5,700,0.34596364,3
OMP,5,800,0.67237880,3
OMP,5,900,0.85213785,3
OMP,5,1000,1.06072002,3
OMP,5,2000,5.95934269,3
OMP,5,3000,22.98534818,3
OMP,5,100,0.00968163,4
OMP,5,200,0.02669130,4
